Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep) 
 01/01  00:10:00,5.916666666666666,3.95 
 01/01  00:20:00,5.733333333333334,3.500000000000001 
 01/01  00:30:00,5.55,3.0500000000000004 
 01/01  00:40:00,5.366666666666667,2.6000000000000007 
 01/01  00:50:00,5.183333333333334,2.15 
 01/01  01:00:00,5.0,1.7 
 01/01  01:10:00,5.0,1.8833333333333334 
 01/01  01:20:00,5.0,2.066666666666667 
 01/01  01:30:00,5.0,2.25 
 01/01  01:40:00,5.0,2.433333333333333 
 01/01  01:50:00,5.0,2.6166666666666669 
 01/01  02:00:00,5.0,2.8 
 01/01  02:10:00,5.0,2.8000000000000004 
 01/01  02:20:00,5.0,2.8 
 01/01  02:30:00,5.0,2.8 
 01/01  02:40:00,5.0,2.8 
 01/01  02:50:00,5.0,2.8 
 01/01  03:00:00,5.0,2.8 
 01/01  03:10:00,5.1000000000000009,2.8833333333333335 
 01/01  03:20:00,5.2,2.966666666666667 
 01/01  03:30:00,5.3,3.05 
 01/01  03:40:00,5.4,3.133333333333333 
 01/01  03:50:00,5.5,3.2166666666666665 
 01/01  04:00:00,5.6,3.3 
 01/01  04:10:00,5.683333333333334,3.4 
 01/01  04:20:00,5.766666666666667,3.5 
 01/01  04:30:00,5.85,3.5999999999999998 
 01/01  04:40:00,5.933333333333334,3.6999999999999999 
 01/01  04:50:00,6.016666666666666,3.8 
 01/01  05:00:00,6.1,3.9 
 01/01  05:10:00,6.383333333333333,3.9833333333333336 
 01/01  05:20:00,6.666666666666667,4.066666666666666 
 01/01  05:30:00,6.949999999999999,4.15 
 01/01  05:40:00,7.2333333333333329,4.233333333333333 
 01/01  05:50:00,7.516666666666667,4.316666666666666 
 01/01  06:00:00,7.8,4.4 
 01/01  06:10:00,7.616666666666667,4.6000000000000009 
 01/01  06:20:00,7.433333333333334,4.800000000000001 
 01/01  06:30:00,7.25,5.0 
 01/01  06:40:00,7.066666666666666,5.2 
 01/01  06:50:00,6.883333333333334,5.4 
 01/01  07:00:00,6.7,5.6 
 01/01  07:10:00,6.700000000000001,5.6000000000000009 
 01/01  07:20:00,6.700000000000001,5.6 
 01/01  07:30:00,6.7,5.6 
 01/01  07:40:00,6.700000000000001,5.6 
 01/01  07:50:00,6.7,5.6 
 01/01  08:00:00,6.7,5.6 
 01/01  08:10:00,6.883333333333334,5.5 
 01/01  08:20:00,7.066666666666667,5.4 
 01/01  08:30:00,7.25,5.3 
 01/01  08:40:00,7.433333333333334,5.199999999999999 
 01/01  08:50:00,7.616666666666666,5.1 
 01/01  09:00:00,7.8,5.0 
 01/01  09:10:00,7.8,5.1000000000000009 
 01/01  09:20:00,7.8,5.2 
 01/01  09:30:00,7.8,5.3 
 01/01  09:40:00,7.799999999999999,5.4 
 01/01  09:50:00,7.8,5.5 
 01/01  10:00:00,7.8,5.6 
 01/01  10:10:00,7.983333333333333,5.5 
 01/01  10:20:00,8.166666666666668,5.4 
 01/01  10:30:00,8.35,5.3 
 01/01  10:40:00,8.533333333333334,5.199999999999999 
 01/01  10:50:00,8.716666666666667,5.1 
 01/01  11:00:00,8.9,5.0 
 01/01  11:10:00,8.983333333333335,5.0 
 01/01  11:20:00,9.066666666666669,5.0 
 01/01  11:30:00,9.15,5.0 
 01/01  11:40:00,9.233333333333335,5.0 
 01/01  11:50:00,9.316666666666667,5.0 
 01/01  12:00:00,9.4,5.0 
 01/01  12:10:00,8.850000000000002,5.1000000000000009 
 01/01  12:20:00,8.3,5.2 
 01/01  12:30:00,7.75,5.3 
 01/01  12:40:00,7.2,5.4 
 01/01  12:50:00,6.6499999999999999,5.5 
 01/01  13:00:00,6.1,5.6 
 01/01  13:10:00,6.199999999999999,5.4 
 01/01  13:20:00,6.300000000000001,5.2 
 01/01  13:30:00,6.4,5.0 
 01/01  13:40:00,6.5,4.800000000000001 
 01/01  13:50:00,6.6000000000000009,4.6 
 01/01  14:00:00,6.7,4.4 
 01/01  14:10:00,6.700000000000001,4.4 
 01/01  14:20:00,6.700000000000001,4.4 
 01/01  14:30:00,6.7,4.4 
 01/01  14:40:00,6.700000000000001,4.4 
 01/01  14:50:00,6.7,4.4 
 01/01  15:00:00,6.7,4.4 
 01/01  15:10:00,6.6000000000000009,4.4 
 01/01  15:20:00,6.500000000000001,4.4 
 01/01  15:30:00,6.4,4.4 
 01/01  15:40:00,6.300000000000001,4.4 
 01/01  15:50:00,6.199999999999999,4.4 
 01/01  16:00:00,6.1,4.4 
 01/01  16:10:00,6.1,4.5 
 01/01  16:20:00,6.1000000000000009,4.6000000000000009 
 01/01  16:30:00,6.1,4.7 
 01/01  16:40:00,6.1,4.8 
 01/01  16:50:00,6.1,4.9 
 01/01  17:00:00,6.1,5.0 
 01/01  17:10:00,6.1,5.0 
 01/01  17:20:00,6.1000000000000009,5.0 
 01/01  17:30:00,6.1,5.0 
 01/01  17:40:00,6.1,5.0 
 01/01  17:50:00,6.1,5.0 
 01/01  18:00:00,6.1,5.0 
 01/01  18:10:00,6.1,4.9 
 01/01  18:20:00,6.1000000000000009,4.800000000000001 
 01/01  18:30:00,6.1,4.7 
 01/01  18:40:00,6.1,4.6000000000000009 
 01/01  18:50:00,6.1,4.5 
 01/01  19:00:00,6.1,4.4 
 01/01  19:10:00,6.1,4.4 
 01/01  19:20:00,6.1000000000000009,4.4 
 01/01  19:30:00,6.1,4.4 
 01/01  19:40:00,6.1,4.4 
 01/01  19:50:00,6.1,4.4 
 01/01  20:00:00,6.1,4.4 
 01/01  20:10:00,6.016666666666667,4.4 
 01/01  20:20:00,5.933333333333334,4.4 
 01/01  20:30:00,5.85,4.4 
 01/01  20:40:00,5.766666666666667,4.4 
 01/01  20:50:00,5.683333333333334,4.4 
 01/01  21:00:00,5.6,4.4 
 01/01  21:10:00,5.683333333333334,4.4 
